year,team_name,player_name,ab,r,h,rbi
2007,Hays Larks,Tyler Barnett,5,0,2,0
2007,Havasu Heat,Tim Carrier,4,2,2,2
2007,Hays Larks,Mike Brownstein,5,1,1,0
2007,Havasu Heat,Francisco Vega,1,0,0,0
2007,Hays Larks,Rich Michalek,2,0,1,0
2007,Havasu Heat,Brad Arnett,6,0,3,1
2007,Hays Larks,Chase Schippers,1,0,0,0
2007,Havasu Heat,Ricky Orton,2,1,0,0
2007,Hays Larks,Ricky Angel,3,1,1,1
2007,Havasu Heat,Stephen Robinson,2,0,1,2
2007,Hays Larks,Dusty Washburn,4,0,1,0
2007,Havasu Heat,Jared Stanley,6,2,2,1
2007,Hays Larks,Erick Morrison,4,0,2,0
2007,Havasu Heat,Cody Neer,5,1,2,0
2007,Hays Larks,Kyle Carney,2,0,0,0
2007,Havasu Heat,Scott Talbert,2,3,0,0
2007,Hays Larks,Clayton Karst,1,0,1,1
2007,Havasu Heat,Drew Moffitt,1,1,0,0
2007,Hays Larks,Adam Muenster,1,0,0,0
2007,Havasu Heat,Dylan Libadosis,3,1,2,1
2007,Hays Larks,Sean Finley,3,0,0,0
2007,Havasu Heat,Brandon Patek,4,1,1,3
2007,Hays Larks,Mark Rockey,3,0,0,0
2007,Havasu Heat,Kevin Ramos,4,2,4,4
2007,Hays Larks,Totals,34,2,9,2
2007,Havasu Heat,Totals,40,14,17,14
2007,Hays Larks,"Justin Randa L,0-1 2",4,5,5,4
2007,Havasu Heat,1 0 0 1,12,17,4,3
2007,Hays Larks,Jarad Watkins 1,5,5,5,2
2007,Havasu Heat,1 1 0 1,8,11,1,1
2007,Hays Larks,Steven Mazur 1,3,1,1,0
2007,Havasu Heat,1 0 0 0,7,7,2,1
2007,Hays Larks,Mark Tanner 2,5,3,2,0
2007,Havasu Heat,0 1 0 1,10,11,2,2
2007,Havasu Heat,1 0 0 0,3,3,0,2
2007,Hays Larks,"Derik Drewett W,1-0 6",5,1,1,1
2007,Havasu Heat,4 0 0 0,23,24,7,7
2007,Hays Larks,Dale Phillips 2,3,1,1,1
2007,Havasu Heat,2 0 0 1,8,11,1,3
2007,Hays Larks,Tommy Buck 1,1,0,0,0
2007,Havasu Heat,0 0 0 0,3,3,0,2
