year,team_name,player_name,decision,ip,h,r,er,bb,so
2007,Hays Larks,Justin Randa,L,2.2,4,5,5,4,1
2007,Hays Larks,Jarad Watkins,,1.0,5,5,5,2,1
2007,Hays Larks,Steven Mazur,,1.1,3,1,1,0,1
2007,Hays Larks,Mark Tanner,,2.0,5,3,2,0,0
2007,Hays Larks,Richard Timbrook,,1.0,0,0,0,0,1
2007,Havasu Heat,Derik Drewett,W,6.0,5,1,1,1,4
2007,Havasu Heat,Dale Phillips,,2.0,3,1,1,1,2
2007,Havasu Heat,Tommy Buck,,1.0,1,0,0,0,0
