year,team_name,player_name,ip,h,r,er,bb,so,ab,bf,fo,go,hbp,wp,bk,rbi
2008,Seattle WA Studs,"Josh Berry L,0-1",5.1,2,2,2,1,0,16,20,4,11,1,1,0,0
2008,Seattle WA Studs,Taylor Thompson,2.2,2,0,0,1,3,9,11,3,2,0,0,0,0
2008,Santa Barbara (CA) Foresters,"Mike Ford W,3-0",9.0,5,0,0,1,9,28,32,10,6,0,0,1,0
