year,team_name,player_name,ab,r,h,rbi,bb,so,po,a,lob
2025,Hutchinson,Jake Gutierrez rf/lf,4,3,2,3,2,0,4,0,1
2025,Lonestar Kraken TX,JT Simonelli cf,5,0,0,0,0,1,1,0,2
2025,Hutchinson,Drew Bugner ss,4,4,3,2,2,0,0,0,0
2025,Lonestar Kraken TX,Josh Livingston 2b,5,0,0,0,0,0,4,4,1
2025,Hutchinson,Jaden Gustafson lf,5,3,3,5,0,0,2,0,0
2025,Lonestar Kraken TX,Diego Gonzalez 1b/c,3,1,0,0,1,0,9,0,0
2025,Hutchinson,Jarrett Herrmann rf,2,0,0,0,0,2,2,0,0
2025,Lonestar Kraken TX,Kado Robardy rf,3,1,1,1,1,0,2,0,0
2025,Hutchinson,Tyson Vassart dh,5,1,2,3,1,1,0,0,1
2025,Lonestar Kraken TX,Ethan Ho c/1b,4,0,1,0,0,1,7,0,2
2025,Hutchinson,AJ Mustow 1b,6,2,2,2,0,2,5,3,2
2025,Lonestar Kraken TX,Kenner Lauterbach ss,4,1,1,0,0,0,1,4,0
2025,Hutchinson,Jackson Legg 1b,0,0,0,0,0,0,1,0,0
2025,Lonestar Kraken TX,Jax Marshall lf,4,1,1,0,0,1,3,0,1
2025,Hutchinson,Blake Bradford 3b,4,3,3,0,0,1,0,1,0
2025,Lonestar Kraken TX,Major Brignon 3b,3,0,1,2,1,1,0,1,0
2025,Hutchinson,Joey Senstock 3b,0,0,0,0,0,0,0,1,0
2025,Lonestar Kraken TX,Grant Nekuza dh,2,0,0,0,2,1,0,0,1
2025,Hutchinson,Keegan Demmer c,4,0,2,1,2,1,3,0,1
2025,Hutchinson,Jake Knox c,0,0,0,0,0,0,3,0,0
2025,Hutchinson,JJ Spafford 2b,4,3,0,1,2,1,2,3,1
2025,Hutchinson,Dylan Bell cf,4,2,0,1,2,1,2,0,3
