year,team_name,player_name,ip,h,r,er,bb,so,ab,bf,fo,go,hbp,wp,bk,rbi
2025,Hutch Monarchs,"Pryce Bender W,1-1",5.1,3,2,2,2,3,0,0,0,0,20,22,6,7
2025,Hutch Monarchs,Daegan Vinduska,1.2,0,0,0,2,0,0,0,0,0,4,6,3,1
2025,Hutch Monarchs,Ayden Benson,1.0,2,2,0,0,1,0,0,0,0,6,6,1,1
2025,Hutch Monarchs,Kyle Holzer,1.0,0,0,0,1,1,0,0,0,0,3,4,2,0
2025,Lonestar Kraken TX,"Bryce McGuire L,0-2",1.0,4,5,2,1,0,0,0,0,0,9,10,1,2
2025,Lonestar Kraken TX,Nick Fein,1.1,2,4,4,2,2,1,0,0,0,5,8,1,1
2025,Lonestar Kraken TX,Dillon Precht,0.1,3,2,2,0,0,1,0,0,0,3,4,1,0
2025,Lonestar Kraken TX,Brett Foss,1.0,4,5,5,1,1,1,0,0,0,7,8,0,2
2025,Lonestar Kraken TX,Micah Melott,1.1,2,1,0,0,1,0,0,1,0,6,7,1,2
2025,Lonestar Kraken TX,Logan Reid,2.0,0,0,0,2,2,0,0,0,0,5,7,1,2
2025,Lonestar Kraken TX,Matthew Hedrick,0.2,2,4,4,2,2,0,0,1,0,4,7,0,0
2025,Lonestar Kraken TX,Brandon Manaska,1.0,0,0,0,3,0,0,0,0,0,2,5,1,1
2025,Lonestar Kraken TX,Ethan Blakeney,0.1,0,0,0,0,1,0,0,0,0,1,1,0,0
