year,team_name,player_name,ab,r,h,rbi,bb,so,po,a,lob
2021,Austin Lonestar TX,Justin Dunlap,4,2,2,0,,,,,
2021,Austin Lonestar TX,Andre Jackson,4,0,1,1,,,,,
2021,Austin Lonestar TX,Max Puls,4,0,1,1,,,,,
2021,Austin Lonestar TX,Reed Beverly,2,0,0,0,,,,,
2021,Austin Lonestar TX,Johnny Hoyle,1,0,0,0,,,,,
2021,Austin Lonestar TX,Brendan Ryan,3,0,1,0,,,,,
2021,Austin Lonestar TX,Kyle Cronk,4,0,2,0,,,,,
2021,Austin Lonestar TX,Rudy Reyna,4,0,0,0,,,,,
2021,Austin Lonestar TX,Justin Taylor,3,0,0,0,,,,,
2021,Austin Lonestar TX,Jamie League,1,0,0,0,,,,,
2021,Austin Lonestar TX,Travis Chestnut,4,0,0,0,,,,,
2021,Santa Barbara CA Foresters,Seth Stephenson,5,2,2,2,,,,,
2021,Santa Barbara CA Foresters,Dylan Campbell,3,2,1,0,,,,,
2021,Santa Barbara CA Foresters,Blayne Jones,1,0,0,0,,,,,
2021,Santa Barbara CA Foresters,Steven Zobac,2,0,0,0,,,,,
2021,Santa Barbara CA Foresters,Kendall Pettis,2,1,2,2,,,,,
2021,Santa Barbara CA Foresters,Tanner O'Tremba,3,2,1,1,,,,,
2021,Santa Barbara CA Foresters,Jared Thomas,1,0,0,0,,,,,
2021,Santa Barbara CA Foresters,Ryan Wrobleski,4,1,1,1,,,,,
2021,Santa Barbara CA Foresters,Andrew Kachel,4,2,1,2,,,,,
2021,Santa Barbara CA Foresters,Nate Rombach,4,2,2,2,,,,,
2021,Santa Barbara CA Foresters,Max McGwire,1,0,1,0,,,,,
2021,Santa Barbara CA Foresters,Dylan Leach,5,1,3,2,,,,,
2021,Santa Barbara CA Foresters,Josh Stinson,5,1,1,1,,,,,
