Year,SourcePDF,Team,Pitcher,G,W,L,IP,H,R,ER,BB,SO,WP,HB
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Allan,1,0,1,1.0,3,4,4,2,0,0,0
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Stephenson,3,2,1,21.2,14,6,2,13,13,0,0
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Stone,1,0,0,5.1,8,4,2,5,2,0,1
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Ellen,1,0,1,8.0,9,6,6,5,11,0,0
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Starck,3,1,1,10.2,6,4,4,1,8,0,0
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Byrd,1,1,0,7.0,3,2,2,3,7,0,0
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Bennett,1,0,0,3.1,5,5,4,3,2,0,0
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Peterson,1,0,0,3.0,4,1,1,2,1,1,0
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Shebesta,1,0,1,8.0,8,2,2,3,4,0,1
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Hammett,2,1,1,11.2,10,4,4,5,4,0,1
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Toomey,2,1,0,8.0,8,7,7,7,12,1,0
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Newkirk,3,0,1,3.2,5,10,4,5,4,1,0
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Johnson,2,0,0,1.2,4,1,1,3,1,0,0
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Bethune,1,0,0,2.0,2,0,0,0,1,0,0
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Vincent,1,0,0,6.0,2,3,0,1,3,1,0
1966,1966 NBC player stats OCR.pdf,Baton Rouge (LA) Rebels,Hebert,2,0,1,3.2,8,8,5,6,7,0,0
1966,1966 NBC player stats OCR.pdf,Baton Rouge (LA) Rebels,Smith,3,0,1,12.0,10,5,3,5,10,1,0
1966,1966 NBC player stats OCR.pdf,Baton Rouge (LA) Rebels,Lee,2,1,0,7.0,5,2,0,3,4,0,0
1966,1966 NBC player stats OCR.pdf,Baton Rouge (LA) Rebels,Toce,1,1,0,7.0,3,0,0,0,6,1,0
1966,1966 NBC player stats OCR.pdf,Tucson (AZ) Jack Ellis Sporting Goods,Hosner,2,0,1,8.2,16,9,7,5,11,0,1
1966,1966 NBC player stats OCR.pdf,Tucson (AZ) Jack Ellis Sporting Goods,Martinez,2,0,1,2.0,3,3,2,0,0,2,4
1966,1966 NBC player stats OCR.pdf,Tucson (AZ) Jack Ellis Sporting Goods,G. Cota Robles,1,1,0,7.0,1,0,0,2,13,0,0
1966,1966 NBC player stats OCR.pdf,Tucson (AZ) Jack Ellis Sporting Goods,Hinton,2,0,0,6.2,9,3,3,2,7,0,0
1966,1966 NBC player stats OCR.pdf,Tucson (AZ) Jack Ellis Sporting Goods,Martin,2,1,0,6.1,8,8,3,2,3,1,1
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Klunder,1,0,0,6.0,6,3,3,3,2,1,1
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Devereux,3,0,1,3.2,7,6,2,1,1,0,0
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Goodrich,2,0,1,1.2,4,1,1,5,5,0,0
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Imhoff,1,1,0,8.1,7,2,2,5,3,1,1
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Johns,1,0,0,1.0,0,0,0,1,0,0,0
1966,1966 NBC player stats OCR.pdf,Smithfield (UT),Lugo,1,1,0,5.0,6,2,1,0,9,1,1
1966,1966 NBC player stats OCR.pdf,Smithfield (UT),Allen,1,0,0,2.0,1,0,0,0,2,0,0
1966,1966 NBC player stats OCR.pdf,Smithfield (UT),Smith,1,0,1,3.2,5,4,4,5,3,0,0
1966,1966 NBC player stats OCR.pdf,Smithfield (UT),Hinckley,1,0,0,4.1,5,1,1,4,5,1,0
1966,1966 NBC player stats OCR.pdf,Valdosta (GA) VFW Red Sox,Clark,2,1,0,14.1,16,5,2,3,10,0,0
1966,1966 NBC player stats OCR.pdf,Valdosta (GA) VFW Red Sox,Billingham,2,0,1,2.1,5,5,5,4,4,0,0
1966,1966 NBC player stats OCR.pdf,Valdosta (GA) VFW Red Sox,Ferguson,1,0,1,5.2,5,4,3,4,4,1,0
1966,1966 NBC player stats OCR.pdf,Valdosta (GA) VFW Red Sox,Copeland,1,0,0,6.2,7,2,2,0,9,0,0
1966,1966 NBC player stats OCR.pdf,Valley Stream (NY) Acme Plumbing Supply,Roth,2,0,1,8.1,13,11,10,5,5,0,0
1966,1966 NBC player stats OCR.pdf,Valley Stream (NY) Acme Plumbing Supply,Schwartz,2,1,0,7.2,3,3,3,9,7,2,0
1966,1966 NBC player stats OCR.pdf,Valley Stream (NY) Acme Plumbing Supply,Flowers,2,0,1,5.2,3,2,2,0,3,0,0
1966,1966 NBC player stats OCR.pdf,Valley Stream (NY) Acme Plumbing Supply,Gipp,1,0,0,5.0,1,1,1,2,6,0,0
1966,1966 NBC player stats OCR.pdf,Oklahoma City (OK) Dons,Pinkerton,2,1,1,10.1,13,6,6,6,10,1,2
1966,1966 NBC player stats OCR.pdf,Oklahoma City (OK) Dons,Fluke,1,0,0,4.2,6,1,0,3,4,0,0
1966,1966 NBC player stats OCR.pdf,Oklahoma City (OK) Dons,Adams,1,0,0,1.2,5,4,2,1,1,0,0
1966,1966 NBC player stats OCR.pdf,Oklahoma City (OK) Dons,Cox,1,0,1,8.0,8,6,4,2,7,0,0
1966,1966 NBC player stats OCR.pdf,Lansing (IL) Old Timers,Smoot,1,0,1,6.2,5,3,3,4,5,0,0
1966,1966 NBC player stats OCR.pdf,Lansing (IL) Old Timers,Abraytis,2,0,0,4.0,1,0,0,3,0,0,0
1966,1966 NBC player stats OCR.pdf,Lansing (IL) Old Timers,Tate,1,1,0,8.0,8,2,2,3,6,1,0
1966,1966 NBC player stats OCR.pdf,Lansing (IL) Old Timers,Teutemacher,2,0,1,7.2,11,6,5,3,4,0,0
1966,1966 NBC player stats OCR.pdf,Huntsville (AL) Independents,Campbell,1,0,1,1.0,0,3,3,3,1,0,0
1966,1966 NBC player stats OCR.pdf,Huntsville (AL) Independents,Mitchell,3,1,1,11.2,10,4,3,7,10,0,0
1966,1966 NBC player stats OCR.pdf,Huntsville (AL) Independents,Wallace,2,0,0,11.2,11,11,9,5,6,1,0
1966,1966 NBC player stats OCR.pdf,Huntsville (AL) Independents,Rodgers,1,0,0,1.2,1,0,0,1,0,0,0
1966,1966 NBC player stats OCR.pdf,Slater (IA) Nite Hawks,Groth,1,1,0,9.0,3,0,0,8,10,0,0
1966,1966 NBC player stats OCR.pdf,Slater (IA) Nite Hawks,Kurtz,1,0,1,2.1,3,2,2,4,2,1,0
1966,1966 NBC player stats OCR.pdf,Slater (IA) Nite Hawks,Greene,1,0,0,4.2,4,2,2,2,2,0,0
1966,1966 NBC player stats OCR.pdf,Slater (IA) Nite Hawks,Bitter,2,0,0,4.0,6,7,5,3,3,0,1
1966,1966 NBC player stats OCR.pdf,Slater (IA) Nite Hawks,Zahn,1,0,1,5.2,3,1,1,6,5,0,0
1966,1966 NBC player stats OCR.pdf,North Platte (NE) Gulf Oilers,Szemplenski,1,0,1,1.0,5,2,2,1,1,0,0
1966,1966 NBC player stats OCR.pdf,North Platte (NE) Gulf Oilers,Hunter,2,0,0,6.0,6,5,5,1,6,0,0
1966,1966 NBC player stats OCR.pdf,North Platte (NE) Gulf Oilers,Wall,1,0,0,2.0,6,2,2,1,2,0,0
1966,1966 NBC player stats OCR.pdf,North Platte (NE) Gulf Oilers,Miller,1,1,0,8.0,3,1,1,3,5,2,0
1966,1966 NBC player stats OCR.pdf,North Platte (NE) Gulf Oilers,Trumper,1,0,0,2.1,6,5,5,0,0,0,0
1966,1966 NBC player stats OCR.pdf,North Platte (NE) Gulf Oilers,Hines,1,0,1,2.2,10,3,3,1,1,0,0
1966,1966 NBC player stats OCR.pdf,Albuquerque (NM) Woods,Templeton,1,0,1,5.0,4,3,2,7,6,2,0
1966,1966 NBC player stats OCR.pdf,Albuquerque (NM) Woods,Rubi,1,0,0,0.2,4,3,2,1,0,0,0
1966,1966 NBC player stats OCR.pdf,Albuquerque (NM) Woods,Randel,2,0,0,1.2,4,6,4,4,1,0,0
