Team,Record,Player,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
BEMISTON CATS,1-2,Wallis,12,3,6,1,0,0,0,1,0,3,8,1,0.5
BEMISTON CATS,1-2,Holmes,2,0,1,0,0,0,0,0,1,3,0,0,0.5
BEMISTON CATS,1-2,Bellis,5,1,2,1,0,0,2,0,0,0,0,0,0.4
BEMISTON CATS,1-2,Moore,13,4,5,1,0,2,1,0,4,1,4,0,0.385
BEMISTON CATS,1-2,Vickers,6,0,2,0,0,0,0,0,1,0,0,0,0.333
BEMISTON CATS,1-2,Chappell,9,0,2,1,0,0,1,0,0,3,0,0,0.222
BEMISTON CATS,1-2,Elrod,10,2,2,0,0,0,0,0,4,1,0,0,0.2
BEMISTON CATS,1-2,Downs,11,1,2,0,0,0,1,1,1,4,4,2,0.182
BEMISTON CATS,1-2,L. Rutledge,13,2,2,0,0,0,2,0,1,41,3,1,0.154
BEMISTON CATS,1-2,J. Rutledge,11,2,1,0,0,0,1,0,1,3,7,1,0.091
BEMISTON CATS,1-2,Rogers,10,2,0,0,0,0,1,1,1,19,8,0,0.0
BEMISTON CATS,1-2,Hamlin,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BEMISTON CATS,1-2,Harte,1,0,0,0,0,0,0,0,0,0,0,0,0.0
FRANKLIN OILERS,1-2,Bartelloni,13,2,9,0,0,0,3,0,0,31,1,3,0.692
FRANKLIN OILERS,1-2,Pizzi,9,1,3,0,0,0,0,0,0,17,2,1,0.333
FRANKLIN OILERS,1-2,Geromini,10,2,3,0,1,0,0,0,1,3,7,5,0.3
FRANKLIN OILERS,1-2,Luccine,4,0,1,1,0,0,0,0,0,0,3,0,0.25
FRANKLIN OILERS,1-2,F. Delfino,8,1,2,1,0,0,0,1,1,1,11,0,0.25
FRANKLIN OILERS,1-2,W. Tracy,12,3,3,0,0,0,1,0,2,9,0,0,0.25
FRANKLIN OILERS,1-2,Talamini,11,3,2,0,0,0,1,0,1,6,0,1,0.182
FRANKLIN OILERS,1-2,Brutcher,6,1,1,0,0,0,0,1,0,1,4,0,0.167
FRANKLIN OILERS,1-2,C. Tracy,14,1,2,0,0,0,0,0,0,4,6,2,0.143
FRANKLIN OILERS,1-2,Barry,4,0,0,0,0,0,0,0,0,1,1,0,0.0
FRANKLIN OILERS,1-2,Girallonardo,5,0,0,0,0,0,0,0,0,4,0,0,0.0
FRANKLIN OILERS,1-2,Pisano,2,0,0,0,0,0,0,0,0,0,0,0,0.0
FRANKLIN OILERS,1-2,Denahy,1,0,0,0,0,0,0,0,0,0,0,0,0.0
FRANKLIN OILERS,1-2,W. Delfino,1,0,0,0,0,0,0,0,0,0,0,0,0.0
BRIDGEPORT SPRINGWOODS,0-2,Riley,1,2,1,0,0,0,0,0,0,0,0,1,1.0
BRIDGEPORT SPRINGWOODS,0-2,Ponselle,1,0,1,0,0,0,0,0,0,0,0,0,1.0
BRIDGEPORT SPRINGWOODS,0-2,Bike,1,0,0,0,0,0,0,0,1,0,0,0,0.0
BRIDGEPORT SPRINGWOODS,0-2,Green,8,1,4,0,0,0,0,0,0,0,2,4,0.5
BRIDGEPORT SPRINGWOODS,0-2,Pulaski,7,2,3,1,0,0,0,0,0,23,0,1,0.429
BRIDGEPORT SPRINGWOODS,0-2,Koripsky,7,0,2,0,1,0,0,0,0,5,0,0,0.286
BRIDGEPORT SPRINGWOODS,0-2,Petrovich,4,1,1,0,0,0,1,0,0,1,6,0,0.25
BRIDGEPORT SPRINGWOODS,0-2,Toigo,9,0,2,0,0,0,0,1,1,5,4,2,0.222
BRIDGEPORT SPRINGWOODS,0-2,Chmiel,8,0,1,0,0,0,0,0,1,3,9,4,0.125
BRIDGEPORT SPRINGWOODS,0-2,Sedor,8,0,1,0,0,0,0,0,0,3,2,0,0.125
BRIDGEPORT SPRINGWOODS,0-2,Pyrch,5,1,0,0,0,0,0,1,0,6,2,0,0.0
BRIDGEPORT SPRINGWOODS,0-2,Soltis,2,0,0,0,0,0,1,0,0,2,0,1,0.0
BRIDGEPORT SPRINGWOODS,0-2,Nemergut,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BRIDGEPORT SPRINGWOODS,0-2,Petrides,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PRESTONSBURG REDS,0-2,Butcher,6,2,2,0,0,0,0,1,0,6,4,0,0.333
PRESTONSBURG REDS,0-2,Curnutte,6,0,2,0,0,0,0,1,1,5,1,0,0.333
PRESTONSBURG REDS,0-2,Miller,4,0,1,0,0,0,0,0,1,1,1,0,0.25
PRESTONSBURG REDS,0-2,Johnson,9,0,2,0,0,0,0,0,0,6,0,0,0.222
PRESTONSBURG REDS,0-2,Meade,5,0,1,0,0,0,0,0,0,4,0,0,0.2
PRESTONSBURG REDS,0-2,Roark,0,1,0,0,0,0,0,0,0,1,0,0,0.0
PRESTONSBURG REDS,0-2,Heinze,5,1,0,0,0,0,1,0,1,1,8,0,0.0
PRESTONSBURG REDS,0-2,Branham,6,0,0,0,0,0,0,0,0,21,1,6,0.0
PRESTONSBURG REDS,0-2,Childers,4,0,0,0,0,0,0,0,0,0,0,0,0.0
PRESTONSBURG REDS,0-2,May,2,0,0,0,0,0,0,0,0,1,0,0,0.0
PRESTONSBURG REDS,0-2,Patton,1,0,0,0,0,0,0,0,0,0,0,0,0.0
PRESTONSBURG REDS,0-2,Clifton,3,0,0,0,0,0,0,0,0,0,0,0,0.0
PRESTONSBURG REDS,0-2,Kidd,3,0,0,0,0,0,0,0,0,0,0,0,0.0
FRANKFORT STARS,0-2,Emerick,1,0,1,0,0,0,0,0,0,0,0,0,1.0
FRANKFORT STARS,0-2,Shepard,5,0,2,0,0,0,0,0,0,0,5,0,0.4
FRANKFORT STARS,0-2,S. Aders,6,1,2,1,0,0,0,0,0,0,4,0,0.333
FRANKFORT STARS,0-2,Harmon,6,0,1,1,0,0,0,0,0,15,8,1,0.167
FRANKFORT STARS,0-2,Stack,7,0,1,0,0,0,0,0,0,3,2,1,0.143
FRANKFORT STARS,0-2,Nicholas,4,0,0,0,0,0,0,0,0,4,1,0,0.0
FRANKFORT STARS,0-2,Edmonds,5,0,0,0,0,0,0,1,0,8,0,0,0.0
FRANKFORT STARS,0-2,Freeland,6,0,0,0,0,0,0,0,0,1,4,0,0.0
FRANKFORT STARS,0-2,Brackett,3,0,0,0,0,0,0,0,0,3,0,0,0.0
FRANKFORT STARS,0-2,Martin,5,0,0,0,0,0,0,0,0,0,4,0,0.0
FRANKFORT STARS,0-2,C. Aders,2,0,0,0,0,0,0,0,0,1,3,1,0.0
FRANKFORT STARS,0-2,Hodge,1,0,0,0,0,0,0,0,0,0,0,0,0.0
WATERLOO DIXIES,0-2,Reynolds,7,1,2,1,0,0,0,0,1,2,5,24,0.286
WATERLOO DIXIES,0-2,T. Roberts,8,2,2,0,1,0,0,0,0,4,0,0,0.25
WATERLOO DIXIES,0-2,Friedman,5,0,1,0,0,0,1,0,0,2,4,0,0.2
WATERLOO DIXIES,0-2,Steinbier,6,0,1,0,0,0,0,0,1,4,0,0,0.167
WATERLOO DIXIES,0-2,Rottger,7,0,1,0,0,0,0,0,1,5,0,0,0.143
WATERLOO DIXIES,0-2,McCombs,8,0,1,0,0,0,0,0,0,19,2,0,0.125
WATERLOO DIXIES,0-2,Abbe,5,0,0,0,0,0,0,0,0,0,1,0,0.0
WATERLOO DIXIES,0-2,Jennings,7,0,0,0,0,0,0,0,0,2,0,0,0.0
WATERLOO DIXIES,0-2,Drisselhaus,1,0,0,0,0,0,0,0,0,0,3,0,0.0
WATERLOO DIXIES,0-2,Wassenaar,2,0,0,0,0,0,0,0,0,0,0,0,0.0
WATERLOO DIXIES,0-2,D. Roberts,3,1,0,0,0,0,1,0,0,0,0,1,0.0
WATERLOO DIXIES,0-2,Bennett,1,0,0,0,0,0,0,0,0,0,0,0,0.0
WATERLOO DIXIES,0-2,Brotchoak,2,0,0,0,0,0,0,0,0,0,3,0,0.0
BELLINGHAM BELLS,0-2,A. Zender,2,0,1,0,0,0,0,0,1,2,1,0,0.5
BELLINGHAM BELLS,0-2,P. Zender,6,2,2,1,0,0,1,0,0,4,0,1,0.333
BELLINGHAM BELLS,0-2,Gaffney,9,2,3,1,0,0,1,0,3,1,4,0,0.333
BELLINGHAM BELLS,0-2,Van Sinderen,7,1,2,1,0,0,0,0,3,9,0,1,0.286
BELLINGHAM BELLS,0-2,R. Zender,4,0,1,0,0,0,0,0,0,5,0,0,0.25
BELLINGHAM BELLS,0-2,B. Zender,8,2,2,0,0,0,0,0,2,4,0,0,0.25
BELLINGHAM BELLS,0-2,Hofeditz,8,0,2,0,0,0,0,0,0,22,4,1,0.25
BELLINGHAM BELLS,0-2,Richardson,9,0,2,0,0,0,1,0,0,7,0,2,0.222
BELLINGHAM BELLS,0-2,Cunnamaker,6,0,1,0,0,0,0,0,0,9,7,4,0.167
BELLINGHAM BELLS,0-2,Radovan,2,0,0,0,0,0,0,0,0,1,1,0,0.0
BELLINGHAM BELLS,0-2,Blank,2,0,0,0,0,0,0,0,0,0,3,1,0.0
BELLINGHAM BELLS,0-2,Bierer,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BELLINGHAM BELLS,0-2,Borisson,0,0,0,0,0,0,0,0,0,1,0,0,0.0
BARKSDALE FIELD,0-2,Dowden,7,1,3,1,0,0,2,1,0,2,0,2,0.429
BARKSDALE FIELD,0-2,Polak,8,2,2,2,0,0,0,0,1,1,0,0,0.25
BARKSDALE FIELD,0-2,Gibbs,8,0,2,0,0,0,0,0,0,10,1,1,0.25
BARKSDALE FIELD,0-2,Kelly,7,1,1,0,0,0,0,0,0,0,0,0,0.143
BARKSDALE FIELD,0-2,Mortimer,8,0,1,0,0,0,0,0,0,3,4,3,0.125
BARKSDALE FIELD,0-2,Easley,8,0,0,0,0,0,0,0,0,5,0,4,0.0
BARKSDALE FIELD,0-2,Tiefel,6,0,0,0,0,0,0,0,0,1,0,1,0.0
BARKSDALE FIELD,0-2,Toms,6,0,0,0,0,0,0,0,0,22,2,0,0.0
BARKSDALE FIELD,0-2,Snyder,4,0,0,0,0,0,0,0,0,0,1,0,0.0
BARKSDALE FIELD,0-2,Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0.0
BARKSDALE FIELD,0-2,Harnly,3,0,0,0,0,0,0,0,0,0,1,0,0.0
CHANUTE FIELD,0-2,Sitnicki,8,0,3,1,0,0,0,0,0,3,1,1,0.375
CHANUTE FIELD,0-2,VanNest,6,1,2,0,0,1,0,0,2,0,4,0,0.333
CHANUTE FIELD,0-2,Stravato,4,0,1,0,0,0,0,0,0,0,1,1,0.25
CHANUTE FIELD,0-2,Rigney,6,0,1,0,0,0,0,0,0,0,4,1,0.167
CHANUTE FIELD,0-2,O'Donnell,6,0,1,1,0,0,0,1,0,19,3,1,0.167
CHANUTE FIELD,0-2,Severin,7,0,1,1,0,0,0,0,0,3,6,1,0.143
CHANUTE FIELD,0-2,Indurante,7,0,1,0,0,0,0,0,0,10,5,1,0.143
CHANUTE FIELD,0-2,Demmitt,9,1,1,0,0,0,1,0,0,6,0,0,0.111
CHANUTE FIELD,0-2,Bakas,2,0,0,0,0,0,0,0,0,4,0,1,0.0
CHANUTE FIELD,0-2,Stearns,1,0,0,0,0,0,0,0,0,0,0,0,0.0
CHANUTE FIELD,0-2,Hullenberg,2,0,0,0,0,0,0,0,0,0,1,0,0.0
CHANUTE FIELD,0-2,Hammes,0,0,0,0,0,0,0,0,0,0,0,0,0.0
CHANUTE FIELD,0-2,Reeves,1,0,0,0,0,0,0,0,0,0,0,0,0.0
CHANUTE FIELD,0-2,Allen,2,0,0,0,0,0,0,0,0,0,2,0,0.0
WILDER,0-2,Rogers,6,0,2,0,0,0,0,0,0,3,0,0,0.333
WILDER,0-2,Kerfoot,3,0,1,0,0,0,0,0,0,4,1,0,0.333
WILDER,0-2,Forsdick,7,0,2,0,0,0,0,0,0,0,2,1,0.286
WILDER,0-2,Hultz,4,2,1,0,0,0,0,0,0,10,0,1,0.25
WILDER,0-2,Blankley,6,0,1,0,0,0,0,0,0,6,0,0,0.167
WILDER,0-2,Birdsall,7,0,1,0,0,0,0,0,0,2,8,1,0.143
WILDER,0-2,Farley,7,0,1,0,0,0,0,0,0,1,0,0,0.143
WILDER,0-2,D. Batt,1,0,0,0,0,0,0,0,0,8,3,0,0.0
WILDER,0-2,Trunnell,0,0,0,0,0,0,0,0,0,0,1,0,0.0
WILDER,0-2,B. Batt,1,0,0,0,0,0,0,0,0,1,0,1,0.0
WILDER,0-2,Garman,2,0,0,0,0,0,0,0,0,0,0,0,0.0
WILDER,0-2,Naftzger,2,0,0,0,0,0,0,0,0,4,1,0,0.0
WILDER,0-2,Gregory,1,0,0,0,0,0,0,0,0,0,1,0,0.0
JOHNSON CITY SOLDIERS,0-1,Robbins,2,0,1,0,0,0,0,0,1,0,0,0,0.5
JOHNSON CITY SOLDIERS,0-1,Milhorn,3,0,1,0,0,0,0,0,0,1,0,0,0.333
JOHNSON CITY SOLDIERS,0-1,Hale,3,1,1,0,0,0,0,0,0,5,0,0,0.333
JOHNSON CITY SOLDIERS,0-1,Campbell,2,0,0,0,0,0,0,0,0,1,1,3,0.0
JOHNSON CITY SOLDIERS,0-1,Keplinger,3,0,0,0,0,0,0,0,0,1,0,0,0.0
JOHNSON CITY SOLDIERS,0-1,N. Carmichael,2,0,0,0,0,0,0,0,0,2,0,0,0.0
JOHNSON CITY SOLDIERS,0-1,Moore,3,0,0,0,0,0,0,0,0,8,1,0,0.0
JOHNSON CITY SOLDIERS,0-1,R. Carmichael,3,0,0,0,0,0,0,0,0,2,2,0,0.0
JOHNSON CITY SOLDIERS,0-1,Whittimore,0,0,0,0,0,0,0,0,0,0,0,2,0.0
JOHNSON CITY SOLDIERS,0-1,McCoughlin,2,0,0,0,0,0,0,0,0,1,0,1,0.0
