Team,W-L,Player,Position,G,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
NORTH PLATTE PLAINSMEN,6-2,Gill,p,2,7,1,1,1,0,0,0,0,0,0,2,0.0,0.143
NORTH PLATTE PLAINSMEN,6-2,McCormick,p,2,3,0,1,0,0,0,0,1,0,0,2,0.0,0.333
ST. JOSEPH AUSCOS,5-3,Nichols,rf-cf,8,19,9,8,2,0,1,2,1,7,12,2,0.0,0.421
ST. JOSEPH AUSCOS,5-3,Berry,ss,6,15,1,8,1,0,0,0,0,2,8,8,0.0,0.533
ST. JOSEPH AUSCOS,5-3,Wood,2b,8,28,5,5,0,0,0,0,0,2,22,16,1.0,0.179
ST. JOSEPH AUSCOS,5-3,Humphrey,lf,8,25,5,10,2,0,0,0,4,6,10,2,0.0,0.4
ST. JOSEPH AUSCOS,5-3,Rivich,3b,8,23,5,3,1,0,1,0,1,3,3,15,0.0,0.13
ST. JOSEPH AUSCOS,5-3,Overland,1b,8,25,4,7,0,0,0,0,1,3,61,3,0.0,0.28
ST. JOSEPH AUSCOS,5-3,Geresy,cf-rf,8,28,11,11,0,0,0,0,1,6,13,1,1.0,0.393
ST. JOSEPH AUSCOS,5-3,Westerkamp,c,8,25,3,4,1,0,0,1,0,1,44,6,0.0,0.16
ST. JOSEPH AUSCOS,5-3,Marino,p,2,2,1,0,0,0,0,0,0,0,0,1,0.0,0.0
ST. JOSEPH AUSCOS,5-3,Bramble,p,4,3,0,2,0,0,0,0,0,0,0,1,0.0,0.667
ST. JOSEPH AUSCOS,5-3,Hisner,p,4,6,1,1,0,0,0,0,1,1,1,1,0.0,0.167
ST. JOSEPH AUSCOS,5-3,Higgins,3b-ss,7,24,4,7,0,0,0,2,2,5,11,14,3.0,0.292
ST. JOSEPH AUSCOS,5-3,Hartley,p,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
ST. JOSEPH AUSCOS,5-3,Richardson,p,3,4,0,0,0,0,0,0,1,0,0,5,0.0,0.0
ST. JOSEPH AUSCOS,5-3,Searcy,p,5,6,0,1,0,0,0,0,0,1,0,0,0.0,0.167
ST. JOSEPH AUSCOS,5-3,Balcullis,c,3,5,0,0,0,0,0,0,0,0,9,2,0.0,0.0
PEORIA CATERPILLAR TRACTORS,4-2,Cullen,cf,2,7,1,3,1,0,0,0,1,0,3,0,0.0,0.429
PEORIA CATERPILLAR TRACTORS,4-2,Cravens,rf-ss-2b,5,15,2,3,0,0,0,1,0,1,6,3,1.0,0.2
PEORIA CATERPILLAR TRACTORS,4-2,A. Smith,1b,5,16,4,4,0,0,1,0,1,3,33,3,0.0,0.25
PEORIA CATERPILLAR TRACTORS,4-2,Thome,3b,5,19,6,8,2,0,1,0,1,6,3,6,0.0,0.421
PEORIA CATERPILLAR TRACTORS,4-2,McClung,c,5,18,3,5,1,0,0,0,1,3,47,3,2.0,0.278
PEORIA CATERPILLAR TRACTORS,4-2,Klube,cf-lf-rf,5,21,3,6,1,0,1,0,0,2,8,0,1.0,0.286
PEORIA CATERPILLAR TRACTORS,4-2,England,2b,4,15,2,2,0,1,0,0,0,0,5,9,0.0,0.133
PEORIA CATERPILLAR TRACTORS,4-2,Madvig,lf-rf,4,13,0,4,1,1,0,0,0,3,9,0,1.0,0.308
PEORIA CATERPILLAR TRACTORS,4-2,Garamone,p,3,8,0,1,0,0,0,0,0,0,0,2,0.0,0.125
PEORIA CATERPILLAR TRACTORS,4-2,Hightower,lf,4,7,3,1,0,0,0,0,1,1,4,0,0.0,0.143
PEORIA CATERPILLAR TRACTORS,4-2,Fidler,ss,5,16,5,4,2,0,0,0,0,3,7,12,1.0,0.25
PEORIA CATERPILLAR TRACTORS,4-2,Kessler,,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0
PEORIA CATERPILLAR TRACTORS,4-2,Hutt,p,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
PEORIA CATERPILLAR TRACTORS,4-2,Tigue,p,2,3,1,0,0,0,0,0,0,0,0,2,0.0,0.0
PEORIA CATERPILLAR TRACTORS,4-2,B. Smith,p,2,4,0,0,0,0,0,0,0,0,0,1,0.0,0.0
HUNTSVILLE PARKERS,4-2,Michael,p-cf,6,22,5,5,0,0,1,0,0,1,9,1,0.0,0.227
HUNTSVILLE PARKERS,4-2,Gaught,ss,6,19,5,5,1,1,0,0,1,2,11,22,0.0,0.263
HUNTSVILLE PARKERS,4-2,Chambers,3b,5,15,4,3,1,0,0,1,0,3,5,8,1.0,0.2
HUNTSVILLE PARKERS,4-2,Talley,1b,1,1,1,1,1,0,0,0,0,2,1,0,0.0,1.0
HUNTSVILLE PARKERS,4-2,Michner,rf-1b,3,12,3,5,1,1,2,1,0,8,11,0,0.0,0.417
HUNTSVILLE PARKERS,4-2,Watson,3b-lf,6,14,2,1,0,0,0,0,0,0,4,0,0.0,0.071
HUNTSVILLE PARKERS,4-2,Coggins,p,1,3,1,2,1,0,0,1,0,2,0,2,0.0,0.667
HUNTSVILLE PARKERS,4-2,Hammonds,ss-2b,6,21,4,2,0,0,0,0,0,0,13,19,0.0,0.095
HUNTSVILLE PARKERS,4-2,Gant,p-2b-c,6,15,2,2,0,0,0,0,1,2,27,7,0.0,0.133
HUNTSVILLE PARKERS,4-2,Baker,1b-lf-rf,6,13,0,1,1,0,0,0,1,1,7,1,0.0,0.077
HUNTSVILLE PARKERS,4-2,Mathis,p-1b-2b-3b,6,13,0,1,0,0,0,0,0,1,27,2,2.0,0.077
HUNTSVILLE PARKERS,4-2,Stewart,p,5,10,1,4,1,0,0,0,1,3,2,3,1.0,0.4
HUNTSVILLE PARKERS,4-2,Burns,1b-p,3,8,1,4,0,0,0,0,0,1,9,1,0.0,0.5
HUNTSVILLE PARKERS,4-2,Bragg,rf-p,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
HUNTSVILLE PARKERS,4-2,Faulkenberry,c-lf,2,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
MIDDLETOWN MERCHANTS,3-2,Rowe,rf,3,13,2,3,2,0,0,0,0,2,0,0,0.0,0.231
MIDDLETOWN MERCHANTS,3-2,Loose,3b,5,19,3,7,0,2,0,0,2,2,7,10,3.0,0.368
MIDDLETOWN MERCHANTS,3-2,Davis,1b,5,17,3,8,0,0,0,1,0,2,40,1,1.0,0.471
MIDDLETOWN MERCHANTS,3-2,Thornburg,cf,5,21,4,7,0,1,0,0,2,3,7,0,0.0,0.333
MIDDLETOWN MERCHANTS,3-2,Rector,c,5,20,2,4,0,0,0,1,1,2,41,0,0.0,0.2
MIDDLETOWN MERCHANTS,3-2,Crull,ss,3,11,3,4,1,0,0,1,1,1,4,2,0.0,0.364
MIDDLETOWN MERCHANTS,3-2,Hale,lf,5,20,4,4,1,0,0,0,0,2,8,1,2.0,0.2
MIDDLETOWN MERCHANTS,3-2,Mills,2b,5,17,2,1,0,0,0,1,0,1,7,12,1.0,0.059
MIDDLETOWN MERCHANTS,3-2,Parks,rf-p,4,10,1,4,0,0,0,0,0,3,1,2,0.0,0.4
MIDDLETOWN MERCHANTS,3-2,Muller,,3,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
MIDDLETOWN MERCHANTS,3-2,Riggs,p,4,4,1,2,0,0,0,0,0,1,1,3,0.0,0.5
MIDDLETOWN MERCHANTS,3-2,Smith,p,4,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
MIDDLETOWN MERCHANTS,3-2,McCoy,ss,5,13,2,1,0,0,0,0,1,2,0,4,2.0,0.077
MIDDLETOWN MERCHANTS,3-2,Rosenthil,p,3,7,0,1,0,0,0,0,1,0,1,5,0.0,0.143
HOLDEN CHIEFS,3-2,Mainey,3b,5,19,4,6,0,0,0,0,0,1,8,2,5.0,0.316
HOLDEN CHIEFS,3-2,Uniak,1b,2,5,0,1,0,0,0,0,0,0,13,0,1.0,0.2
HOLDEN CHIEFS,3-2,Delich,ss,5,14,3,4,1,0,0,1,0,3,7,13,0.0,0.286
HOLDEN CHIEFS,3-2,Griffin,c,5,16,3,4,2,0,0,0,0,2,23,2,0.0,0.25
HOLDEN CHIEFS,3-2,Jim Bodenhamer,rf,5,16,2,2,0,0,0,1,0,1,5,0,0.0,0.125
HOLDEN CHIEFS,3-2,Wild,2b,5,15,1,4,1,0,0,0,0,3,15,15,2.0,0.267
HOLDEN CHIEFS,3-2,Roberts,cf,5,15,1,2,0,0,0,0,0,2,13,1,1.0,0.133
HOLDEN CHIEFS,3-2,Vossen,lf,5,17,3,6,1,0,0,0,0,4,8,0,1.0,0.353
HOLDEN CHIEFS,3-2,Hiller,p,1,2,0,0,0,0,0,0,1,0,0,3,0.0,0.0
HOLDEN CHIEFS,3-2,Geritz,p,3,6,1,1,0,0,0,0,1,0,0,6,0.0,0.167
HOLDEN CHIEFS,3-2,Pickett,p-1b,5,12,2,3,0,0,1,0,0,3,17,2,2.0,0.25
HOLDEN CHIEFS,3-2,Jack Bodenhamer,cf,2,1,0,1,0,0,0,0,0,0,0,0,0.0,1.0
HOLDEN CHIEFS,3-2,Rellihan,,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
HOLDEN CHIEFS,3-2,Young,,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
HOLDEN CHIEFS,3-2,Zych,p,3,5,1,2,0,0,0,0,0,0,0,2,0.0,0.4
MILWAUKEE FALKS,3-2,Rommel,2b,5,21,8,8,2,0,0,0,0,1,12,11,0.0,0.381
MILWAUKEE FALKS,3-2,Meja,ss,5,19,3,3,0,0,0,0,0,1,9,16,5.0,0.158
MILWAUKEE FALKS,3-2,Raether,lf-rf,5,19,7,14,4,1,0,0,0,11,8,0,0.0,0.737
MILWAUKEE FALKS,3-2,Schimenz,3b,5,17,4,4,0,0,0,0,1,3,2,4,0.0,0.235
MILWAUKEE FALKS,3-2,Schramka,lf-cf,5,20,5,4,0,0,1,0,0,3,10,0,1.0,0.2
MILWAUKEE FALKS,3-2,Goesch,c,5,13,2,2,0,0,0,2,1,3,30,2,0.0,0.154
MILWAUKEE FALKS,3-2,Polk,cf,3,9,0,0,2,0,0,1,0,2,3,0,0.0,0.0
MILWAUKEE FALKS,3-2,Koceja,1b,4,9,0,0,0,0,0,0,0,0,17,2,1.0,0.0
