Year,SourcePDF,Team,Pitcher,G,W,L,IP,H,R,ER,BB,SO,WP,HB,Pct
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Richmond,3,1,1,17.2,17,11,10,7,16,0,0,
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Dunavent,2,1,0,11.2,4,1,0,5,11,0,0,
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Turnbull,1,1,0,5.1,5,4,4,5,8,0,0,
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Hopkins,1,0,0,3.2,1,1,0,1,5,0,0,
1966,1966 NBC player stats OCR.pdf,Batesville (AR),McKay,1,0,0,1.1,5,6,6,1,3,0,0,
1966,1966 NBC player stats OCR.pdf,Batesville (AR),Brewer,1,0,1,4.1,4,1,0,2,2,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Baton Rouge (LA) Rebels,Smith,3,0,1,12.0,10,5,3,5,10,1,0,
1966,1966 NBC player stats OCR.pdf,Baton Rouge (LA) Rebels,Hebert,2,0,1,3.2,8,8,5,6,7,0,0,
1966,1966 NBC player stats OCR.pdf,Baton Rouge (LA) Rebels,Toce,1,1,0,7.0,3,0,0,0,6,1,0,
1966,1966 NBC player stats OCR.pdf,Baton Rouge (LA) Rebels,Lee,2,1,0,7.0,5,2,0,3,4,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Hyman,8,2,1,26.0,13,2,1,5,25,0,0,
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Dukes,3,3,0,19.2,16,4,3,6,23,0,0,
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Willis,2,2,0,13.1,7,5,4,3,12,0,1,
1966,1966 NBC player stats OCR.pdf,Boulder (CO) Collegians,Carbajal,3,0,0,5.0,1,0,0,3,3,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Lodes,3,2,0,14.1,19,10,8,2,11,1,0,
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Maxwell,1,0,1,7.0,3,2,2,3,4,1,0,
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Teeders,1,0,0,1.2,2,2,0,2,3,0,0,
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Cassie,1,0,0,5.0,2,4,1,6,2,0,0,
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Ward,2,0,0,4.0,4,2,2,3,0,0,0,
1966,1966 NBC player stats OCR.pdf,Enid (OK) Dodgers,Allan,1,0,1,1.0,3,4,4,2,0,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Vance,3,3,0,23.1,14,6,2,19,37,1,0,
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Klinger,2,1,1,13.1,11,8,8,5,12,2,0,
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Bendele,2,1,1,9.2,7,1,1,5,12,0,0,
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Gonsalves,4,0,0,10.0,12,6,5,3,8,0,0,
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Caviglia,1,0,0,1.0,2,4,4,2,1,2,0,
1966,1966 NBC player stats OCR.pdf,Eureka (CA) Humboldt Crabs,Graves,1,0,0,0.1,0,2,2,1,0,1,3,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Goodrich,2,0,1,1.2,4,1,1,5,5,0,0,
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Imhoff,1,1,0,8.1,7,2,2,5,3,1,1,
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Klunder,1,0,0,6.0,6,3,3,3,2,1,1,
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Devereux,3,0,1,3.2,7,6,2,1,1,0,0,
1966,1966 NBC player stats OCR.pdf,Grand Rapids (MI) Sullivan's,Johns,1,0,0,1.0,0,0,0,1,0,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Huntsville (AL) Independents,Mitchell,3,1,1,11.2,10,4,3,7,10,0,0,
1966,1966 NBC player stats OCR.pdf,Huntsville (AL) Independents,Wallace,2,0,0,11.2,11,11,9,5,6,1,0,
1966,1966 NBC player stats OCR.pdf,Huntsville (AL) Independents,Campbell,1,0,1,1.0,0,3,3,3,1,0,0,
1966,1966 NBC player stats OCR.pdf,Huntsville (AL) Independents,Rodgers,1,0,0,1.2,1,0,0,1,0,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Kokomo (IN) Highlanders,Brade,2,0,1,5.0,3,3,1,1,4,3,1,
1966,1966 NBC player stats OCR.pdf,Kokomo (IN) Highlanders,S. Snyder,1,0,1,6.0,3,3,3,2,4,2,0,
1966,1966 NBC player stats OCR.pdf,Kokomo (IN) Highlanders,Schubach,1,0,0,2.0,2,1,1,1,2,1,0,
1966,1966 NBC player stats OCR.pdf,Kokomo (IN) Highlanders,Leavell,1,0,0,4.2,6,3,3,2,1,6,0,
1966,1966 NBC player stats OCR.pdf,Kokomo (IN) Highlanders,Harris,2,0,0,3.2,3,1,1,1,1,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Lansing (IL) Old Timers,Tate,1,1,0,8.0,8,2,2,3,6,1,0,
1966,1966 NBC player stats OCR.pdf,Lansing (IL) Old Timers,Smoot,1,0,1,6.2,5,3,3,4,5,0,0,
1966,1966 NBC player stats OCR.pdf,Lansing (IL) Old Timers,Teutemacher,2,0,1,7.2,11,6,5,3,4,0,0,
1966,1966 NBC player stats OCR.pdf,Lansing (IL) Old Timers,Abraytis,2,0,0,4.0,1,0,0,3,0,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Toomey,2,1,0,8.0,8,7,7,7,12,1,0,
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Hammett,2,1,1,11.2,10,4,4,5,4,0,1,
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Newkirk,3,0,1,3.2,5,10,4,5,4,1,0,
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Vincent,1,0,0,6.0,2,3,0,1,3,1,0,
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Johnson,2,0,0,1.2,4,1,1,3,1,0,0,
1966,1966 NBC player stats OCR.pdf,Liberal (KS) BeeJays,Bethune,1,0,0,2.0,2,0,0,0,1,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Henson,2,2,0,17.0,10,0,0,7,16,1,0,
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Hillhouse,3,2,1,21.1,27,14,12,5,8,0,0,
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Felts,3,0,0,3.1,4,2,2,2,5,0,0,
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Hughes,2,0,0,4.1,8,6,6,5,2,0,0,
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,McDougall,1,0,1,4.0,7,4,4,3,2,1,0,
1966,1966 NBC player stats OCR.pdf,Lubbock (TX) Hubbers,Whitaker,1,0,0,2.0,2,0,0,0,1,2,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Mexico (MO) Sports,McFarland,1,0,1,8.0,11,5,5,2,9,0,0,
1966,1966 NBC player stats OCR.pdf,Mexico (MO) Sports,Hanson,1,0,1,9.0,12,6,5,3,8,1,1,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Miami (FL) Dodgers,Serra,2,0,1,9.1,9,6,6,6,3,0,1,
1966,1966 NBC player stats OCR.pdf,Miami (FL) Dodgers,Baumgardner,2,0,1,4.2,10,8,8,7,2,0,1,
1966,1966 NBC player stats OCR.pdf,Miami (FL) Dodgers,Griffin,1,0,0,2.0,2,2,2,2,2,0,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Stephenson,3,2,1,21.2,14,6,2,13,13,0,0,
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Ellen,1,0,1,8.0,9,6,6,5,11,0,0,
1966,1966 NBC player stats OCR.pdf,Middlesex (NC) Johnston County Stars,Stone,1,0,0,5.1,8,4,2,5,2,0,1,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Starck,3,1,1,10.2,6,4,4,1,8,0,0,
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Byrd,1,1,0,7.0,3,2,2,3,7,0,0,
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Shebesta,1,0,1,8.0,8,2,2,3,4,0,1,
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Bennett,1,0,0,3.1,5,5,4,3,2,0,0,
1966,1966 NBC player stats OCR.pdf,Milwaukee (WI) Allen-Bradley,Peterson,1,0,0,3.0,4,1,1,2,1,1,0,
,,,,,,,,,,,,,,,
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Nevers,4,2,2,25.0,18,12,9,11,20,1,0,
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Sevlie,4,1,0,16.2,10,5,2,2,18,0,0,
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Wickman,3,2,1,22.1,17,9,9,10,11,1,0,
1966,1966 NBC player stats OCR.pdf,Minneapolis (MN) Duffs,Youngquist,1,0,0,1.0,2,0,0,0,0,0,0,
,,,,,,,,,,,,,,,
