Year,SourcePDF,Team,Player,Pos,G,AB,R,H,2B,3B,HR,SB,SH,RBI,PO,A,E,Pct
1940,1940_Top_10_OCR.pdf,Duncan,Sloan,rf,6,22,6,6,,,,,,,,,,0.273
1940,1940_Top_10_OCR.pdf,Duncan,Smith,ss,3,8,0,2,,,,,,,,,,0.25
1940,1940_Top_10_OCR.pdf,Duncan,Willingham,2b,6,25,3,4,,,,,,,,,,0.16
1940,1940_Top_10_OCR.pdf,Duncan,Governor,cf,2,7,0,1,,,,,,,,,,0.143
1940,1940_Top_10_OCR.pdf,Duncan,Struss,p,2,8,2,1,,,,,,,,,,0.125
1940,1940_Top_10_OCR.pdf,Duncan,Parker,p,3,8,0,1,,,,,,,,,,0.125
,,,,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Enid,Barkley,ss,8,34,13,13,,,,,,,,,,0.382
1940,1940_Top_10_OCR.pdf,Enid,McFarland,cf,8,27,7,10,,,,,,,,,,0.37
1940,1940_Top_10_OCR.pdf,Enid,Gilchrist,2b,8,34,11,12,,,,,,,,,,0.353
1940,1940_Top_10_OCR.pdf,Enid,Clift,rf,8,28,9,9,,,,,,,,,,0.321
1940,1940_Top_10_OCR.pdf,Enid,Gibson,3b,8,32,4,10,,,,,,,,,,0.313
1940,1940_Top_10_OCR.pdf,Enid,Patton,lf,8,31,4,9,,,,,,,,,,0.294
1940,1940_Top_10_OCR.pdf,Enid,McClung,1b,8,29,4,6,,,,,,,,,,0.206
1940,1940_Top_10_OCR.pdf,Enid,Milstead,p,3,5,1,1,,,,,,,,,,0.2
1940,1940_Top_10_OCR.pdf,Enid,Clark,c,8,29,4,5,,,,,,,,,,0.172
1940,1940_Top_10_OCR.pdf,Enid,Cauble,p,5,16,0,1,,,,,,,,,,0.063
,,,,,,,,,,,,,,,,,,
1940,1940_Top_10_OCR.pdf,Houston,Angley,c,5,18,8,10,,,,,,,,,,0.556
1940,1940_Top_10_OCR.pdf,Houston,Kentling,1b,7,26,3,13,,,,,,,,,,0.5
1940,1940_Top_10_OCR.pdf,Houston,Jakucki,p,4,6,0,3,,,,,,,,,,0.5
1940,1940_Top_10_OCR.pdf,Houston,Bumpers,p,3,4,2,2,,,,,,,,,,0.5
1940,1940_Top_10_OCR.pdf,Houston,Morrow,cf-3b,4,17,3,7,,,,,,,,,,0.412
1940,1940_Top_10_OCR.pdf,Houston,Evans,p,3,6,1,2,,,,,,,,,,0.333
