year,team_name,player_name,ab,r,h,rbi,bb,so,po,a,lob
2023,Santa Barbara CA Foresters,Greg Pace cf,3,0,0,0,0,2,,,
2023,Santa Barbara CA Foresters,Daniel Patterson ph/1b,1,1,1,0,0,0,,,
2023,Santa Barbara CA Foresters,Jalin Flores ss,3,1,1,0,1,1,,,
2023,Santa Barbara CA Foresters,Miguel Santos 3b,4,0,1,1,0,0,,,
2023,Santa Barbara CA Foresters,Max Belyeu rf,4,1,2,1,0,0,,,
2023,Santa Barbara CA Foresters,Eamonn Lance dh,3,0,1,0,0,1,,,
2023,Santa Barbara CA Foresters,Will Rogers lf,4,0,1,1,0,1,,,
2023,Santa Barbara CA Foresters,Rocco Garza-Gongora 1b/cf,4,0,0,0,0,1,,,
2023,Santa Barbara CA Foresters,Rylan Galvan c,3,0,0,0,0,1,,,
2023,Santa Barbara CA Foresters,Nate Voss ph,1,0,0,0,0,1,,,
2023,Santa Barbara CA Foresters,Ryan Black 2b,4,0,0,0,0,1,,,
2023,Hutchinson KS Monarchs,Caleb Cotton cf,5,1,1,0,0,3,,,
2023,Hutchinson KS Monarchs,Drew Bugner ss,3,0,0,0,1,0,,,
2023,Hutchinson KS Monarchs,Will Edmunson rf,4,0,1,2,0,0,,,
2023,Hutchinson KS Monarchs,Max Buettenback lf,3,1,1,0,0,0,,,
2023,Hutchinson KS Monarchs,Jaden Gustafson dh,2,2,1,2,1,1,,,
2023,Hutchinson KS Monarchs,Cooper Harris c,4,1,1,1,0,2,,,
2023,Hutchinson KS Monarchs,Sam Wiese 1b,4,0,0,0,0,2,,,
2023,Hutchinson KS Monarchs,Jarrett Flaggert 3b,4,1,3,1,0,0,,,
2023,Hutchinson KS Monarchs,Blake Bradford 2b,4,0,0,0,0,3,,,
