year,team_name,player_name,ip,h,r,er,bb,so,ab,bf,fo,go,hbp,wp,bk,rbi
2023,Santa Barbara CA Foresters,"Carson Turnquist L,0-1",4.2,3,2,0,2,8,18,21,3,3,1,1,0,
2023,Santa Barbara CA Foresters,Zach Erdman,0.2,2,2,2,0,0,4,5,0,2,1,0,0,
2023,Santa Barbara CA Foresters,Sean Youngerman,2.2,3,2,2,0,3,11,11,2,3,0,0,0,
2023,Hutchinson KS Monarchs,"Cole Toureau W,1-0",7.1,6,2,2,0,6,28,28,11,5,0,0,0,
2023,Hutchinson KS Monarchs,Alec Stanfield,0.1,1,1,1,1,0,2,4,0,1,1,2,0,
2023,Hutchinson KS Monarchs,Derick Johnson,0.1,0,0,0,0,1,1,1,0,0,0,0,0,
2023,Hutchinson KS Monarchs,"Reed Scott S,2",1.0,0,0,0,0,2,3,3,1,0,0,0,0,
