year,team_name,player_name,ab,r,h,rbi,bb,so,po,a,lob
2019,Seattle WA Studs,Kyle Strash,3,1,0,0,0,0,0,0,0
2019,Seattle WA Studs,Gavin Grant,5,0,0,0,0,0,0,0,0
2019,Seattle WA Studs,Collin Wolf,4,1,2,0,0,0,0,0,0
2019,Seattle WA Studs,Jack Pauley,5,1,2,1,0,0,0,0,0
2019,Seattle WA Studs,Ryan Budnick,5,0,1,1,0,0,0,0,0
2019,Seattle WA Studs,Brock Gagliardi,2,0,2,0,0,0,0,0,0
2019,Seattle WA Studs,Henry Cheney,4,1,1,1,0,0,0,0,0
2019,Seattle WA Studs,Kyle Boe,5,0,2,1,0,0,0,0,0
2019,Seattle WA Studs,R.J. Green,2,1,0,0,0,0,0,0,0
2019,Cheney KS Diamond Dawgs,Blake Rambusch,6,0,2,1,0,0,0,0,0
2019,Cheney KS Diamond Dawgs,Wade Raburn,5,0,1,0,0,0,0,0,0
2019,Cheney KS Diamond Dawgs,Kyler Castillo,3,0,2,0,0,0,0,0,0
2019,Cheney KS Diamond Dawgs,Andrew Miller,5,1,1,1,0,0,0,0,0
2019,Cheney KS Diamond Dawgs,Tresten Kennard,4,1,2,0,0,0,0,0,0
2019,Cheney KS Diamond Dawgs,Scott Hastings,3,0,0,0,0,0,0,0,0
2019,Cheney KS Diamond Dawgs,Matt Scheurich,4,1,3,1,0,0,0,0,0
2019,Cheney KS Diamond Dawgs,Chaney Dodge,5,0,1,0,0,0,0,0,0
2019,Cheney KS Diamond Dawgs,Ramon Vingochea,3,1,1,1,0,0,0,0,0
