year,team_name,player_name,ip,h,r,er,bb,so,ab,bf,fo,go,hbp,wp,bk,rbi
2019,Seattle WA Studs,Alan Vasquez,1.2,6,3,3,1,2,10,12,0,3,0,0,0,0
2019,Seattle WA Studs,Jared Wilson,2.1,3,0,0,2,1,10,13,3,3,1,0,0,0
2019,Seattle WA Studs,Zander Clouse,3.0,3,1,1,1,3,12,13,1,5,0,0,0,0
2019,Seattle WA Studs,Anthony Brady,2.0,1,0,0,1,2,6,8,1,2,1,0,0,0
2019,Cheney KS Diamond Dawgs,Tyler Miller,2.0,2,3,0,4,1,8,13,2,3,0,0,0,0
2019,Cheney KS Diamond Dawgs,Jacob Uhing,2.2,4,2,2,2,1,11,13,5,1,0,0,0,0
2019,Cheney KS Diamond Dawgs,John Shull,2.1,3,0,0,1,2,10,11,3,2,0,0,0,0
2019,Cheney KS Diamond Dawgs,Mat Oset,1.2,1,0,0,3,1,5,9,1,3,0,0,0,0
2019,Cheney KS Diamond Dawgs,Nate Postlethwait,0.1,0,0,0,0,0,1,1,1,0,0,0,0,0
