year,team_name,player_name,ip,h,r,er,bb,so,ab,bf,fo,go,hbp,wp,bk,rbi
2012,Seattle WA Studs,"David Benson L,2-1",1.2,5,3,3,1,2,8,10,0,2,0,0,0,
2012,Seattle WA Studs,Nate O'Bryan,5.0,5,3,3,2,1,19,21,9,4,0,0,1,
2012,Seattle WA Studs,Taylor Thompson,1.1,0,0,0,0,1,4,4,1,2,0,0,0,
2012,Santa Barbara Foresters,"John Beck W,1-0",6.1,4,1,0,2,10,22,26,4,5,1,1,0,
2012,Santa Barbara Foresters,Willie Kuhl,0.1,0,0,0,0,0,2,2,1,0,0,0,0,
2012,Santa Barbara Foresters,Albert Minnis,0.2,1,1,1,0,0,3,3,1,1,0,1,0,
2012,Santa Barbara Foresters,Jason Hursh,1.2,0,0,0,0,0,5,5,2,3,0,0,0,
