year,team_name,player_name,ab,r,h,rbi,bb,so,po,a,lob
2012,Seattle WA Studs,Caleb Brown lf,3,0,0,0,1,2,,,
2012,Seattle WA Studs,Bobby Jo Tannehill 2b,4,0,0,0,0,1,,,
2012,Seattle WA Studs,Brady Steiger dh,4,1,3,0,0,0,,,
2012,Seattle WA Studs,Eric Peterson 1b,4,0,2,0,0,1,,,
2012,Seattle WA Studs,Kyle Boe 3b,4,0,0,1,0,2,,,
2012,Seattle WA Studs,Jett Hart cf,3,1,0,0,1,2,,,
2012,Seattle WA Studs,Derek Jennings ss,3,0,0,0,0,1,,,
2012,Seattle WA Studs,Garrett Breda c,3,0,0,0,0,1,,,
2012,Seattle WA Studs,Julien Pollard rf,4,0,0,0,0,0,,,
2012,Santa Barbara Foresters,Arby Fields cf,3,1,1,1,1,0,,,
2012,Santa Barbara Foresters,Richy Pedroza ss,3,1,1,1,1,0,,,
2012,Santa Barbara Foresters,Richard Sanguinetti lf,4,0,1,1,0,1,,,
2012,Santa Barbara Foresters,Robert Vickers dh,3,1,2,0,1,0,,,
2012,Santa Barbara Foresters,Austin Davidson 2b,4,1,1,1,0,2,,,
2012,Santa Barbara Foresters,Jacob Felts c,3,0,0,0,0,0,,,
2012,Santa Barbara Foresters,Ryan O'Hearn 1b,4,0,0,0,0,1,,,
2012,Santa Barbara Foresters,Shane Hoelscher 3b,4,1,1,1,0,0,,,
2012,Santa Barbara Foresters,Zach Fish rf,3,1,3,1,0,0,,,
