year,team_name,player_name,ab,r,h,rbi,bb,so,po,a,lob
2009,Anchorage Gl.Pilots,Jonathan Johnson 2b,4,0,0,0,,,,,
2009,El Dorado Broncos,Kyle Tiernan ss,5,1,2,1,,,,,
2009,Anchorage Gl.Pilots,Ryan Gebhart cf,4,0,1,1,,,,,
2009,El Dorado Broncos,Elliot Frey cf,5,0,1,0,,,,,
2009,Anchorage Gl.Pilots,Gunnar Glad rf,4,0,0,0,,,,,
2009,El Dorado Broncos,Wes Cunningham dh,5,1,1,0,,,,,
2009,Anchorage Gl.Pilots,Joey Terdoslavich dh,4,0,0,0,,,,,
2009,El Dorado Broncos,Kirk Walker 3b,4,0,1,0,,,,,
2009,Anchorage Gl.Pilots,Joe Weik 1b,4,0,2,0,,,,,
2009,El Dorado Broncos,Travis Whipple rf,3,0,0,0,,,,,
2009,Anchorage Gl.Pilots,Ricky Rossman lf,4,0,1,0,,,,,
2009,El Dorado Broncos,Matt Giller 1b,5,0,0,0,,,,,
2009,Anchorage Gl.Pilots,Daniel Dellasega c,4,0,0,0,,,,,
2009,El Dorado Broncos,David Allbritton c,4,0,1,1,,,,,
2009,Anchorage Gl.Pilots,Carlos Alonso 3b,3,1,1,0,,,,,
2009,El Dorado Broncos,Graham Tyler 2b,4,0,2,0,,,,,
2009,Anchorage Gl.Pilots,Michael Miller ss,2,0,1,0,,,,,
2009,El Dorado Broncos,Dorain Williams lf,4,0,0,0,,,,,
2009,Anchorage Gl.Pilots,Christian Bergman p,0,0,0,0,,,,,
2009,El Dorado Broncos,Jake Sabol p,0,0,0,0,,,,,
2009,Anchorage Gl.Pilots,Esteven Uriegas p,0,0,0,0,,,,,
2009,El Dorado Broncos,Cobey Guy p,0,0,0,0,,,,,
2009,Anchorage Gl.Pilots,DJ Mauldin p,0,0,0,0,,,,,
2009,El Dorado Broncos,Mike Nixon p,0,0,0,0,,,,,
2009,Anchorage Gl.Pilots,Charlie Robertson p,0,0,0,0,,,,,
2009,El Dorado Broncos,Randal Builliard p,0,0,0,0,,,,,
2009,El Dorado Broncos,Steve Trevino p,0,0,0,0,,,,,
