year,team_name,player_name,ip,h,r,er,bb,so,ab,bf,fo,go,hbp,wp,bk,rbi
2009,Anchorage Gl.Pilots,Christian Bergman,6.2,5,1,1,0,6,25,25,8,5,0,0,0,
2009,Anchorage Gl.Pilots,Esteven Uriegas,2.0,0,0,0,0,2,6,7,2,2,1,0,0,
2009,Anchorage Gl.Pilots,"DJ Mauldin L,0-1",1.1,3,1,0,1,0,7,9,4,0,0,0,0,
2009,Anchorage Gl.Pilots,Charlie Robertson,0.2,0,0,0,0,1,1,2,1,0,0,0,0,
2009,El Dorado Broncos,Jake Sabol,7.0,4,1,1,2,1,22,25,8,10,0,0,0,
2009,El Dorado Broncos,Cobey Guy,0.1,1,0,0,0,1,2,2,0,0,0,0,0,
2009,El Dorado Broncos,Mike Nixon,0.2,0,0,0,0,0,2,2,1,1,0,0,0,
2009,El Dorado Broncos,Randal Builliard,1.0,0,0,0,0,0,3,3,2,1,0,0,0,
2009,El Dorado Broncos,"Steve Trevino W,1-0",2.0,1,0,0,1,2,4,6,1,1,0,0,0,
