year,team_name,player_name,ab,r,h,rbi,bb,so,po,a,lob
2013,Seattle WA Studs,Connor Savage lf,4,0,0,0,0,0,0,0,0
2013,Seattle WA Studs,Brian Corliss 2b,2,0,0,1,0,0,0,0,0
2013,Seattle WA Studs,Ty Holm cf,2,1,1,1,0,0,0,0,0
2013,Seattle WA Studs,Eric Peterson dh,4,0,0,0,0,0,0,0,0
2013,Seattle WA Studs,Bobby LeCount 1b,4,1,1,1,0,0,0,0,0
2013,Seattle WA Studs,Kyle Boe 3b,4,0,1,1,0,0,0,0,0
2013,Seattle WA Studs,Yusuki Akitoshi ss,4,1,2,0,0,0,0,0,0
2013,Seattle WA Studs,Garrett Breda c,3,1,1,0,0,0,0,0,0
2013,Seattle WA Studs,Matt Becker rf,4,1,2,1,0,0,0,0,0
2013,Wellington KS Heat,Aaron Siple cf,4,0,0,0,0,0,0,0,0
2013,Wellington KS Heat,Nick Thimesch rf,3,1,1,0,0,0,0,0,0
2013,Wellington KS Heat,Robbie Rea 3b,4,0,1,1,0,0,0,0,0
2013,Wellington KS Heat,Tony Piazza 1b,4,0,1,0,0,0,0,0,0
2013,Wellington KS Heat,Nick Billinger 2b,3,0,1,0,0,0,0,0,0
2013,Wellington KS Heat,Kirk Rocha lf,3,0,0,0,0,0,0,0,0
2013,Wellington KS Heat,TC Mark c,3,0,0,0,0,0,0,0,0
2013,Wellington KS Heat,Dalton Bernardi dh,2,0,0,0,0,0,0,0,0
2013,Wellington KS Heat,Trevor Long ph/dh,1,0,0,0,0,0,0,0,0
2013,Wellington KS Heat,Rowdy Andrews ss,3,0,0,0,0,0,0,0,0
