year,team_name,player_name,ip,h,r,er,bb,so,ab,bf,fo,go,hbp,wp,bk,rbi
2015,Seattle WA Studs,"Geoff Brown W,2-0",8.0,11,2,2,0,8,32,33,5,8,0,0,1,
2015,Seattle WA Studs,"Taylor Thompson S,3",1.0,0,0,0,0,2,3,3,1,0,0,0,0,
2015,Haysville KS Aviators,"Cody Selig L,0-1",3.0,5,2,2,1,3,12,15,2,4,0,0,0,
2015,Haysville KS Aviators,Brody Harris,1.1,2,0,0,1,0,5,6,1,2,0,0,0,
2015,Haysville KS Aviators,Mike Berlin,1.0,1,2,2,0,0,3,6,2,1,2,0,0,
2015,Haysville KS Aviators,Pat Ledet,1.2,2,0,0,0,0,6,7,2,2,1,0,0,
2015,Haysville KS Aviators,Tristan Jones,2.0,3,1,0,3,2,9,13,2,2,0,0,0,
