year,team_name,player_name,decision,ip,h,r,er,bb,so
2022,Hays KS Larks,Hunter Marshall,"L,1-1",1.0,5,6,6,3,0
2022,Hays KS Larks,Preston Tabor,,4.0,6,3,3,0,2
2022,Hays KS Larks,Hunter Parker,,0.2,3,2,2,0,1
2022,Hays KS Larks,Coby Grimsley,,0.2,0,0,0,2,2
2022,Hays KS Larks,Sam Hendon,,1.2,0,1,1,3,1
2022,Santa Barbara CA Foresters,Parker Smith,"W,2-0",6.0,4,1,1,1,5
2022,Santa Barbara CA Foresters,Kyle Robinson,,1.0,2,0,0,0,0
2022,Santa Barbara CA Foresters,Nick Griffin,,1.0,1,0,0,0,0
2022,Santa Barbara CA Foresters,Chase Webster,,1.0,0,0,0,0,2
