year,team_name,player_name,ab,r,h,rbi
2022,Hays KS Larks,Hunter Rosson,3,1,2,1
2022,Hays KS Larks,Jack Torosian,4,0,1,0
2022,Hays KS Larks,Palmer Hutchison,4,0,0,0
2022,Hays KS Larks,Wyatt Divis,4,0,1,0
2022,Hays KS Larks,Dylan Dreiling,3,0,0,0
2022,Hays KS Larks,Brayden Luikart,1,0,0,0
2022,Hays KS Larks,Garrett Gruell,2,0,0,0
2022,Hays KS Larks,Cade Brown,2,0,1,0
2022,Hays KS Larks,Brady Evans,3,0,0,0
2022,Hays KS Larks,Leo Jiminian,2,0,1,0
2022,Hays KS Larks,Ben Fierenzi,1,0,1,0
2022,Hays KS Larks,Austen Jaslove,2,0,0,0
2022,Hays KS Larks,Tanner Rice,1,0,0,0
2022,Hays KS Larks,Austin Stracener,1,0,0,0
2022,Santa Barbara CA Foresters,Miguel Santos,5,2,2,2
2022,Santa Barbara CA Foresters,Nick McLain,2,1,2,0
2022,Santa Barbara CA Foresters,Jacob Martinez,1,0,0,0
2022,Santa Barbara CA Foresters,Nate Rombach,4,2,2,2
2022,Santa Barbara CA Foresters,Gavin Kash,4,1,2,3
2022,Santa Barbara CA Foresters,Jack Holman,2,0,0,0
2022,Santa Barbara CA Foresters,Blayne Jones,4,0,1,1
2022,Santa Barbara CA Foresters,William Pendergrass,0,0,0,0
2022,Santa Barbara CA Foresters,Dylan Campbell,5,0,1,0
2022,Santa Barbara CA Foresters,Hudson White,2,1,0,0
2022,Santa Barbara CA Foresters,Griffin Everitt,2,0,1,0
2022,Santa Barbara CA Foresters,Sebastian Orduno,2,3,1,0
2022,Santa Barbara CA Foresters,Gianni Horvat,3,2,2,2
