year,team_name,player_name,ab,r,h,rbi,bb,so,po,a,lob
2018,NJCAA National Team,Bryan Sturges,2,2,0,0,0,0,0,0,0
2018,NJCAA National Team,Brant Blaylock,4,0,0,0,0,0,0,0,0
2018,NJCAA National Team,Shemar Page,0,0,0,0,0,0,0,0,0
2018,NJCAA National Team,Alex Whipple,0,1,0,0,0,0,0,0,0
2018,NJCAA National Team,Colton Onstott,5,1,3,2,0,0,0,0,0
2018,NJCAA National Team,Devin Hemenway,0,0,0,0,0,0,0,0,0
2018,NJCAA National Team,Saul Garza,4,0,0,0,0,0,0,0,0
2018,NJCAA National Team,Mikey Hoehner,4,0,2,2,0,0,0,0,0
2018,NJCAA National Team,Brock Edge,5,0,1,0,0,0,0,0,0
2018,NJCAA National Team,Brandon Parker,3,0,0,0,0,0,0,0,0
2018,NJCAA National Team,Michael Lawson,1,0,0,0,0,0,0,0,0
2018,NJCAA National Team,Tommy Sacco,4,0,2,0,0,0,0,0,0
2018,NJCAA National Team,Josh Brystan,3,0,1,0,0,0,0,0,0
2018,NJCAA National Team,Kade Clemens,1,1,1,0,0,0,0,0,0
2018,Santa Barbara (CA) Foresters,Logan Allen,4,1,2,0,0,0,0,0,0
2018,Santa Barbara (CA) Foresters,Brandon Lewis,4,0,0,1,0,0,0,0,0
2018,Santa Barbara (CA) Foresters,Luke Ritter,3,1,1,1,0,0,0,0,0
2018,Santa Barbara (CA) Foresters,Patrick Mathis,4,1,1,3,0,0,0,0,0
2018,Santa Barbara (CA) Foresters,Michael Neustifter,4,0,1,0,0,0,0,0,0
2018,Santa Barbara (CA) Foresters,Ryan Cash,4,0,1,0,0,0,0,0,0
2018,Santa Barbara (CA) Foresters,Utah Jones,4,1,1,0,0,0,0,0,0
2018,Santa Barbara (CA) Foresters,Slade Heggen,2,1,1,0,0,0,0,0,0
2018,Santa Barbara (CA) Foresters,Elijah Ray Alexander,3,1,1,1,0,0,0,0,0
