year,team_name,player_name,ab,r,h,rbi,bb,so,po,a,lob
2014,Santa Barbara CA Foresters,Colt Atwood rf,6,0,1,0,,,,,
2014,Santa Barbara CA Foresters,Ford Stainback 2b,6,1,1,0,,,,,
2014,Santa Barbara CA Foresters,Jaylin Davis cf,6,2,4,0,,,,,
2014,Santa Barbara CA Foresters,Granger Studdard 1b,6,0,1,1,,,,,
2014,Santa Barbara CA Foresters,Dillon Dobson dh,2,0,0,0,,,,,
2014,Santa Barbara CA Foresters,Jeremy Montalbano ph/dh,2,0,2,1,,,,,
2014,Santa Barbara CA Foresters,Reggie Southall pr/dh,1,0,0,0,,,,,
2014,Santa Barbara CA Foresters,Bret Boswell 3b,5,0,2,1,,,,,
2014,Santa Barbara CA Foresters,Steven Reveles ss,5,0,0,0,,,,,
2014,Santa Barbara CA Foresters,Cody Walker c,3,0,0,0,,,,,
2014,Santa Barbara CA Foresters,A.J. Balta ph,1,0,0,0,,,,,
2014,Santa Barbara CA Foresters,AJ Kennedy c,1,0,1,0,,,,,
2014,Santa Barbara CA Foresters,Jake Vickerson lf,4,0,3,0,,,,,
2014,Seattle WA Studs,Max Whitt ss,6,0,2,0,,,,,
2014,Seattle WA Studs,Connor Savage cf,5,2,3,0,,,,,
2014,Seattle WA Studs,Jose Ruiz lf,4,0,0,0,,,,,
2014,Seattle WA Studs,Eric Peterson 1b,5,0,1,1,,,,,
2014,Seattle WA Studs,Bobby LeCount dh,5,0,1,0,,,,,
2014,Seattle WA Studs,Kyle Boe 3b,3,0,1,0,,,,,
2014,Seattle WA Studs,Jon Mercer rf,5,0,1,0,,,,,
2014,Seattle WA Studs,Garrett Breda c,3,0,0,0,,,,,
2014,Seattle WA Studs,Marcus Hinkle 2b,5,0,0,0,,,,,
