year,team_name,player_name,ip,h,r,er,bb,so,ab,bf,fo,go,hbp,wp,bk,rbi
2014,Santa Barbara CA Foresters,Brandon Quintero,6.0,5,1,1,4,5,21,27,6,7,0,1,0,0
2014,Santa Barbara CA Foresters,Kyle Kubat,1.1,1,1,0,0,1,5,5,1,2,0,1,0,0
2014,Santa Barbara CA Foresters,Ryan Helsley,1.2,1,0,0,0,3,6,6,1,1,0,0,0,0
2014,Santa Barbara CA Foresters,"Troy Cruz W,1-0",3.0,2,0,0,1,2,9,11,4,2,0,0,0,1
2014,Seattle WA Studs,David Benson,6.1,8,1,1,1,8,26,27,4,5,0,0,0,0
2014,Seattle WA Studs,Ricky Holm,1.0,1,1,1,0,1,4,4,1,1,0,0,0,0
2014,Seattle WA Studs,"Taylor Thompson L,0-1",4.2,6,1,1,1,2,18,19,5,4,0,0,0,0
