year,team_name,player_name,ab,r,h,rbi,bb,so,po,a,lob
2020,Santa Barbara CA Foresters,Matthew McLain ss,5,3,2,2,,,,,
2020,Cheney KS Diamond Dawgs,Jackson Glenn 3b,5,0,1,0,,,,,
2020,Santa Barbara CA Foresters,Jace Jung 2b,5,1,2,3,,,,,
2020,Cheney KS Diamond Dawgs,George Specht 2b,5,0,1,0,,,,,
2020,Santa Barbara CA Foresters,Christian Encarnacion dh,6,1,2,2,,,,,
2020,Cheney KS Diamond Dawgs,Corrigan Bartlett cf,4,0,1,0,,,,,
2020,Santa Barbara CA Foresters,Branden Boissiere 1b,3,1,1,0,,,,,
2020,Cheney KS Diamond Dawgs,Lincoln Andrews 1b,2,0,1,0,,,,,
2020,Santa Barbara CA Foresters,Noah Cardenas c,3,0,0,0,,,,,
2020,Cheney KS Diamond Dawgs,Davis Sims ph/1b,1,0,0,0,,,,,
2020,Santa Barbara CA Foresters,Ryan Holgate rf,1,0,0,0,,,,,
2020,Cheney KS Diamond Dawgs,Lenny Ashby dh,4,0,0,0,,,,,
2020,Santa Barbara CA Foresters,Patrick Caulfield rf/lf,3,2,2,1,,,,,
2020,Cheney KS Diamond Dawgs,Kyler Castillo rf,2,0,1,0,,,,,
2020,Santa Barbara CA Foresters,Casey Dykstra lf/cf,5,0,0,0,,,,,
2020,Cheney KS Diamond Dawgs,Tresten Kennard pr/lf,2,0,0,0,,,,,
2020,Santa Barbara CA Foresters,Hunter Cullen cf/rf,4,1,1,1,,,,,
2020,Cheney KS Diamond Dawgs,Ed Scott lf/rf,2,0,1,0,,,,,
2020,Santa Barbara CA Foresters,Nick Oakley ph/lf,0,0,0,0,,,,,
2020,Cheney KS Diamond Dawgs,Nick Verners ph,1,1,1,0,,,,,
2020,Santa Barbara CA Foresters,Sean McLain 3b,5,3,3,1,,,,,
2020,Cheney KS Diamond Dawgs,John Russ c,0,0,0,0,,,,,
2020,Cheney KS Diamond Dawgs,Andrew Miller ph,1,0,0,0,,,,,
2020,Cheney KS Diamond Dawgs,Brett McGee c,2,1,1,0,,,,,
2020,Cheney KS Diamond Dawgs,Andrew Stewart ss,1,0,0,0,,,,,
2020,Cheney KS Diamond Dawgs,Caleb Farmer ph/ss,3,1,1,3,,,,,
