year,team_name,player_name,ip,h,r,er,bb,so,ab,bf,fo,go,hbp,wp,bk,rbi
2020,Santa Barbara CA Foresters,Nick Nastrini,4.0,4,0,0,2,4,15,18,5,3,0,0,0,
2020,Santa Barbara CA Foresters,"Nick Proctor W,1-0",1.0,1,0,0,0,0,4,4,0,3,0,0,0,
2020,Santa Barbara CA Foresters,Bryce Warrecker,1.0,0,0,0,0,2,3,3,0,1,0,0,0,
2020,Santa Barbara CA Foresters,Sean Mullen,1.0,1,0,0,0,1,4,4,2,0,0,0,0,
2020,Santa Barbara CA Foresters,Blake Adams,1.0,0,0,0,0,1,3,3,1,1,0,0,0,
2020,Santa Barbara CA Foresters,Elijah Trest,1.0,3,3,3,0,2,6,6,1,0,0,0,0,
2020,Cheney KS Diamond Dawgs,"Jeff Wilson L,0-1",0.1,3,3,3,1,0,4,6,0,1,1,1,0,
2020,Cheney KS Diamond Dawgs,Garrett VanDeventer,2.2,3,2,2,1,4,11,12,2,2,0,0,0,
2020,Cheney KS Diamond Dawgs,Dakota Rodd,1.2,4,3,3,1,2,9,10,1,2,0,0,1,
2020,Cheney KS Diamond Dawgs,Bradan Pierce,1.1,2,2,1,0,0,7,7,2,2,0,0,0,
2020,Cheney KS Diamond Dawgs,Nate Postlethwait,1.0,1,2,2,1,0,3,6,1,2,1,0,0,
2020,Cheney KS Diamond Dawgs,Rowan Arrant,1.0,0,0,0,1,1,3,4,1,1,0,0,0,
2020,Cheney KS Diamond Dawgs,Clay Westbrooks,1.0,0,0,0,0,0,3,3,2,1,0,0,0,
