year,team_name,player_name,ab,r,h,rbi,bb,so,po,a,lob
2017,Kansas Stars,Ryan Langerhans cf,5,1,3,4,0,0,0,0,0
2017,Everett WA Merchants,Ty Holm cf,4,0,0,0,0,0,0,0,0
2017,Kansas Stars,Jack Wilson ss,5,0,0,0,0,0,0,0,0
2017,Everett WA Merchants,Max Whitt 3b,4,0,1,1,0,0,0,0,0
2017,Kansas Stars,Chipper Jones dh,4,1,1,0,0,0,0,0,0
2017,Everett WA Merchants,Jake Levin 1b,4,0,2,0,0,0,0,0,0
2017,Kansas Stars,Brandon Inge 2b,4,0,0,0,0,0,0,0,0
2017,Everett WA Merchants,Isaiah Aluko rf,4,0,1,0,0,0,0,0,0
2017,Kansas Stars,Adam LaRoche 1b,3,1,0,1,0,0,0,0,0
2017,Everett WA Merchants,Austin Atwell lf,4,0,0,0,0,0,0,0,0
2017,Kansas Stars,Andy LaRoche 3b,3,1,1,1,0,0,0,0,0
2017,Everett WA Merchants,Aaron Cook ss,3,0,1,0,0,0,0,0,0
2017,Kansas Stars,Matt Diaz lf,4,0,0,0,0,0,0,0,0
2017,Everett WA Merchants,Matt Thompson dh,2,0,0,0,0,0,0,0,0
2017,Kansas Stars,Jason Repko rf,3,2,3,0,0,0,0,0,0
2017,Everett WA Merchants,Connor Anderson ph,1,0,1,0,0,0,0,0,0
2017,Kansas Stars,Koyie Hill c,4,1,1,1,0,0,0,0,0
2017,Everett WA Merchants,Kevin Olmstead 2b,1,1,0,0,0,0,0,0,0
2017,Kansas Stars,Colton McCluskey 2b,1,0,0,0,0,0,0,0,0
2017,Kansas Stars,Spencer Wise c,3,0,0,0,0,0,0,0,0
