year,team_name,player_name,ip,h,r,er,bb,so,ab,bf,fo,go,hbp,wp,bk,rbi
2017,Kansas Stars,"Ben Sheets W,1-0",5.0,2,0,0,0,4,16,16,5,5,0,0,0,0
2017,Kansas Stars,Nate Robertson,1.0,2,1,1,1,1,5,6,0,2,0,0,0,0
2017,Kansas Stars,Joe Beimel,1.0,2,0,0,0,0,4,4,0,2,0,0,0,0
2017,Kansas Stars,Ryan Mattheus,1.0,0,0,0,0,1,3,3,0,2,0,0,0,0
2017,Kansas Stars,Heath Bell,1.0,0,0,0,0,1,3,3,1,1,0,0,0,0
2017,Everett WA Merchants,"Pete Irvin L,1-1",3.2,6,4,4,2,1,16,19,7,3,0,2,0,0
2017,Everett WA Merchants,Brett Ricklefs,3.1,1,1,1,2,1,11,13,4,5,0,0,0,0
2017,Everett WA Merchants,Max Dwyer,2.0,2,2,2,1,0,8,9,5,1,0,0,0,0
